,id,url,image,name,description,author,ratings,ingredients,steps,nutrients,times,serves,difficulty,vote_count,subcategory,dish_type,maincategory
0,16a94310-cea8-435f-90e8-10f8b02b7bfe,https://www.bbcgoodfood.com/recipes/easy-bread-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/03/EasyBreadRolls-e4a7255.jpg,Easy bread rolls,"Bake these simple white bread rolls for sandwiches, burger buns or to dunk in soup. Using only a handful of ingredients, bread-making has never been so easy",Barney Desmazery,4,"['500g strong white bread flour, plus extra for dusting ', '7g sachet fast action yeast', '1 tsp white caster sugar', '2 tsp fine salt', '1 tsp sunflower oil, plus extra for the work surface and bowl']","['Tip the flour, yeast, sugar, salt and oil into a bowl. Pour over 325ml warm water, then mix (with a spatula or your hand), until it comes together as a shaggy dough. Make sure all the flour has been incorporated. Cover and leave for 10 mins.', 'Lightly oil your work surface and tip the dough onto it. Knead the dough for at least 10 mins until it becomes tighter and springy – if you have a stand mixer you can do this with a dough hook for 5 mins. Pull the dough into a ball and put in a clean, oiled bowl. Leave for 1 hr, or until doubled in size.', 'Tip the dough onto a lightly floured surface and roll into a long sausage shape. Halve the dough, then divide each half into four pieces, so you have eight equal-sized portions. Roll each into a tight ball and put on a dusted baking tray, leaving some room between each ball for rising. Cover with a damp tea towel and leave in a warm place to prove for 40 mins-1 hr or until almost doubled in size.', 'Heat the oven to 230C/210C fan/gas 8. When the dough is ready, dust each ball with a bit more flour. (If you like, you can glaze the rolls with milk or beaten egg, and top with seeds.) Bake for 25-30mins, until light brown and hollow sounding when tapped on the base. Leave to cool on a wire rack.']","{'kcal': '246', 'fat': '2g', 'saturates': '0g', 'carbs': '48g', 'sugars': '1g', 'fibre': '2g', 'protein': '8g', 'salt': '1.2g'}","{'Preparation': '30 mins', 'Cooking': '25 mins - 30 mins'}",8,Easy,137,Bread,Bread roll recipes,baking
1,5edaf257-7a3b-4878-bf3c-99922f319e7a,https://www.bbcgoodfood.com/recipes/pizza-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-46013_11-99b8eda.jpg,Pizza rolls,These easy-to-make snacks can be doubled to feed a crowd of kids,Good Food team,4,"['6 crusty bread rolls', '2 tbsp tomato purée', '6 slices ham', '3 tomatoes, sliced', ""2 balls mozzarella, sliced (we used Sainsbury's Basics)"", '2 tsp dried oregano', '6 black olives (optional)']","['Heat oven to 180C/160C fan/gas 4. Cut the tops off the rolls and scoop out the insides. Spread the rolls with tomato purée, then fill with ham, tomatoes and finally the mozzarella. Scatter with dried oregano and top each with an olive, if you like.', 'Place the rolls on a baking tray and bake for 15 mins until the rolls are crusty brown and the cheese is bubbling. Leave to rest for a min, then serve hot with a side salad.']","{'kcal': '275', 'fat': '11g', 'saturates': '6g', 'carbs': '30g', 'sugars': '4g', 'fibre': '2g', 'protein': '17g', 'salt': '1.99g'}","{'Preparation': '15 mins', 'Cooking': '15 mins'}",6,Easy,4,Bread,Bread roll recipes,baking
2,aa999c11-f8c0-40c5-8239-732339e3cd57,https://www.bbcgoodfood.com/recipes/foccaccia-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-743466_11-e87df17.jpg,Foccaccia rolls,Team these rustic bread rolls with a selection of antipasti or your favourite Italian fare,Angela Nilsen,5,"['500g strong white bread flour', '7g sachet easy-bake dried yeast (or 2 tsp Quick dried yeast)', '1½ tsp salt', '1 tbsp soft butter', '3 tbsp olive oil', '100g sliced roasted peppers', '85g chopped camembert', '20 small black olives', 'handful of rocket leaves', 'a good pinch of oregano']","['Mix the flour, yeast and salt in a large mixing bowl. Make a dip in the centre of the flour and pour in almost 300ml hand warm (cool rather than hot) water and 1 tbsp olive oil, with a round-bladed knife. Then mix in enough of the remaining water and a bit more if needed, to gather up any dry bits in the bottom of the bowl, until the mixture comes together as a soft, not too sticky, dough. Gather it into a ball with your hands.', 'Put the dough onto a very lightly floured surface and knead for 8-10 mins until it feels smooth and elastic, only adding the minimum of extra flour if necessary to prevent the dough sticking. Place the ball of dough on a lightly floured work surface. Cover with an upturned, clean, large glass bowl and leave for 45 mins-1 hr or until doubled in size and feels light and springy. Timing will depend on the warmth of the room.', 'Knock back the dough by gently kneading just 3-4 times. You only want to knock out any large air bubbles, so too much handling now will lose the dough’s lightness. Shape into a ball, then cover and leave for 10 mins.', 'Cut the dough into 10 even pieces. Shape each into a ball and sit them on 2 baking parchment-lined baking sheets. Cover with a clean dry tea towel and leave for 40-45 mins, or until about doubled in size.', 'Finish by using your fingers press a wide indent in the middle of each roll. Scatter over the roasted peppers, cheese and olives pressing down quite firmly into the indents, finish with rocket. Drizzle with most of the remaining oil mixed with a good pinch of dried oregano. Season.', 'Put a roasting tin in the bottom of the oven 20 mins before ready to bake and heat oven to 230C/210C fan/gas 8. Put the risen bread in the oven, carefully pour about 250ml cold water into the roasting tin (this will hiss and create a burst of steam to give you a crisp crust), then lower the heat to 220C/200C fan/gas 7. Bake for 20 mins or until golden. Remove and cool on a wire rack. If you tap the underneath of the loaf if should be firm and sound hollow. When baked, drizzle with a little extra olive oil.']","{'kcal': '240', 'fat': '7g', 'saturates': '2g', 'carbs': '38g', 'sugars': '1g', 'fibre': '2g', 'protein': '8g', 'salt': '1.37g'}","{'Preparation': '20 mins', 'Cooking': '20 mins'}",10,Easy,6,Bread,Bread roll recipes,baking
3,5d49a07d-cc45-492e-bb66-0db776dc2c2b,https://www.bbcgoodfood.com/recipes/cheesy-sausage-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1119465_11-4aebb21.jpg,Cheesy sausage rolls,"Bake these comforting bread rolls in a muffin tin - they're filled with cheddar, bangers, spring onions and garlic butter",Sarah Cook,5,"['500g pack  bread mix', 'oil, for greasing', '8 good-quality sausages, cooked following pack instructions and cooled', 'a little  flour, for dusting', '50g garlic butter, melted', '6 spring onions, finely sliced', '200g mature cheddar, grated']","['Make up the bread mix following pack instructions. Set aside somewhere warm-ish to rise, in a bowl covered with oiled cling film, while you get everything else ready. Slice the cooked sausages into just under 1cm slices.', 'Roll out the dough on a lightly floured surface to a rectangle roughly 50 x 30cm. Brush with half the garlic butter and scatter over the spring onions, cheese and sausages. Roll up the dough tightly from one of the longest sides, like a Swiss roll. Use a sharp, floured knife to cut the roll into 12 pieces. Wipe the holes of a 12-hole muffin tin with a little more melted butter. Push a roll of bread, cut-side up, into each hole. Dab the remaining butter over the tops, and cover loosely with oiled cling film. Set aside somewhere warm-ish for 30 mins to puff a little.', 'Heat oven to 200C/180C fan/gas 6. Bake the rolls for 20-25 mins until golden and risen. Cool in the tins for 10 mins, then lift out to eat warm, or cool completely.']","{'kcal': '294', 'fat': '17g', 'saturates': '9g', 'carbs': '22g', 'sugars': '1g', 'fibre': '1g', 'protein': '13g', 'salt': '1.5g'}","{'Preparation': '1 hr and 20 mins', 'Cooking': '45 mins - 50 mins'}",12,Easy,21,Bread,Bread roll recipes,baking
4,30f735f0-cbfe-4884-bc8c-25e0472fb156,https://www.bbcgoodfood.com/recipes/ploughmans-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201816_10-7f0a38f.jpg,Ploughman’s rolls,Bake your own bread buns and fill them with classic cheese ploughman's ingredients for an inspired lunch,Sarah Cook,5,"['1 tbsp celery seeds, plus a few extra', '500g pack bread dough', '200ml milk, plus a splash to glaze', '100g extra-mature cheddar, grated', '85g English Brie or camembert, diced', '1 small apple, cored and diced into small chunks', '2 spring onions, finely chopped', '1 tbsp poppy seed', 'plain flour, for dusting', 'pickle, to serve']","['Stir the celery seeds into the bread dough mix. Pour the milk into a jug, make up to 325ml with water, then warm to hand temperature (this is easy to do in the microwave). Add to the bread mix and bring together following pack instructions. Leave to rise in a warm place until about doubled in size.', 'Meanwhile, mix together 85g of the cheddar, the Brie, apple and spring onions, and season a little.', 'Divide the dough into 8 even pieces. Roll a piece into a roughly 10cm-wide circle (about the thickness of a naan), then spoon an eighth of the cheesy mixture into the middle. Gather up the edges of the dough around the filling and pinch together to seal firmly – you don’t want it to burst while baking. Turn the roll over so the pinched bit seals and squashes together underneath. Re-shape a little if necessary. Repeat with the remaining dough and filling, then sit on floured baking sheets, spaced a little apart. Cover with oiled cling film and set aside in a warm place for 30 mins more.', 'Heat oven to 200C/180C fan/gas 6. Brush the rolls with a splash of milk, scatter with the poppy seeds plus a pinch more celery seeds and the remaining cheddar, then bake for 20-22 mins. Eat warm or cold, with pickle.']","{'kcal': '250', 'fat': '9g', 'saturates': '5g', 'carbs': '32g', 'sugars': '3g', 'fibre': '2g', 'protein': '12g', 'salt': '1g'}","{'Preparation': '40 mins', 'Cooking': '22 mins'}",8,Easy,1,Bread,Bread roll recipes,baking
5,a416c6e5-c27d-42cb-9b31-0d1cef0d5356,https://www.bbcgoodfood.com/recipes/hedgehog-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hedgehog-bread-roll-78eef35.jpg,Hedgehog rolls,Introduce kids to the art of breadmaking with this fun and easy starter recipe. These mini hedgehog rolls are the cutest bake you'll ever make,Lulu Grimes,5,"['500g pack brown bread mix', '25g butter', 'plain flour, for dusting', '12 raisins', '6 flaked almonds']","['Make the bread mixture with the butter following pack instructions. It’s easiest to use a stand mixer but not difficult to do by hand. Leave the dough to rest for 5 mins, then knead for 5 mins.', 'Cut the dough into six pieces. Dust the surface with a little flour and shape each piece into a ball by rolling it between your hand. Now make it hedgehog-shaped by pulling one side out a little and squeezing it gently into a snout. Be quite firm or it will bounce back.', 'Put the hedgehogs on a baking sheet, cover with a damp tea towel and leave to rise for 1 hr.', 'Heat oven to 200C/180C fan/gas 6. Using kitchen scissors (supervise younger children), carefully snip into the dough to make the spikes on the backs of the hedgehogs. Press raisins in for the eyes and push a flaked almond into the end of each snout.', 'Bake for 15 mins or until the rolls are risen and golden. Will keep for two days in an airtight container.']",{},"{'Preparation': '20 mins', 'Cooking': '15 mins'}",6,Easy,11,Bread,Bread roll recipes,baking
6,2b5a9a25-3318-44f6-b2c8-e1d8e82d5126,https://www.bbcgoodfood.com/recipes/basic-granary-bread-dough-rolls-or-large-loaf,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-2032_11-d91e764.jpg,Basic granary bread dough (for rolls or a large loaf),Nothing beats homemade bread straight from the oven - ready in just 35 minutes,Lesley Waters,5,"['225g strong white flour', '225g malted granary bread  flour', '1 tsp  salt', '1 tsp  caster sugar', '7g sachet easy-blend yeast', '150ml warm  milk', '1 egg, beaten', '1 tbsp  olive oil', '100-150ml warm water']","['Mix the flours and salt together in a large bowl, then stir in the sugar and yeast. Make a well in the centre of the flour and pour in the warm milk, beaten egg, olive oil and enough of the water to form a soft, wet dough.', 'On a lightly floured surface, knead dough for 10 mins until smooth. Put the dough in a lightly oiled bowl, cover with oiled cling film, then leave to rise in a warm place until doubled in size. The dough is now ready to be shaped.', 'To make 12 rolls, divide the dough into 12 pieces and shape into rolls. Lightly flour 3 baking sheets. Place the rolls onto the sheets and cover loosely with oiled cling film. Set aside in a warm place for 30 mins or until they have doubled in size.', 'Heat oven to 200C/fan 180C/gas 6. Brush the bread with beaten egg and sprinkle with sesame and poppy seeds. Bake for 15-20 mins until deep golden brown and well risen.', 'To make a flowerpot loaf, leave the dough to rise for about 1 hour, or until doubled in size. Soak one large or eight small terracotta flowerpots in cold water for about 30 mins. Dry thoroughly, then brush the inside of the pots with oil and line with parchment paper. Shape dough into a smooth round with a roughly pointed shape at one end so it half-fills the pot. Leave until doubled in size.', 'Heat oven to 190C/fan 170C/gas 5. Brush the top of the loaf with beaten egg, sprinkle with poppy or sesame seeds and bake for 45-50 mins (15-20 mins for small loaves) until golden. Let it sit for 5-10 mins, then take out of the pot and leave to cool on a wire rack.']","{'kcal': '232', 'fat': '4g', 'saturates': '0g', 'carbs': '42g', 'sugars': '3g', 'fibre': '3g', 'protein': '9g', 'salt': '0.7g'}","{'Preparation': '15 mins', 'Cooking': '15 mins - 20 mins'}",12,Easy,30,Bread,Bread roll recipes,baking
7,a2ab04eb-1465-4a3e-a6f3-64dcf462e6fc,https://www.bbcgoodfood.com/recipes/tear-and-share-cheese-garlic-rolls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tear-and-share-cheese-garlic-rolls-b4638a7.jpg,Tear-and-share cheese & garlic rolls,"Enjoy this cheesy garlic tear-and-share bread at a family dinner. It's perfect for feeding a crowd at a barbecue, or as a side dish to a hearty casserole",Lulu Grimes,4,"['100g unsalted butter, softened', '450g strong white bread flour', '7g sachet fast-action dried yeast', '1 tsp golden caster sugar', 'rapeseed oil, for the bowl and tray', '2 tbsp polenta or cornmeal', '1 garlic clove, grated', '100g mozzarella, grated', '50g cheddar, grated']","['Heat 280ml water in a saucepan for a minute until warm but not too hot to stick your finger in (don’t burn yourself!). Remove from the heat, then add 50g butter. Combine the flour, yeast, sugar and 1 tsp salt in a large bowl or a tabletop mixer. Add the warm water and beat to make a soft dough. Knead for 10 mins by hand, or 5 mins in a mixer, until the dough feels stretchy and smooth. Tip into a clean, oiled bowl and cover with oiled cling film. Leave to rise for 1½-2 hrs, or until doubled in size.', 'Brush a large baking tray with oil and scatter over the polenta. Knock the air out of the dough. Pinch off small pieces (about the size of a walnut), then roll each piece into a ball and put on the baking tray. Leave a little space between each dough ball.', 'Heat oven to 180C/160C fan/gas 4. Cover the tray with oiled cling film, then prove for 30 mins-1 hr until the dough has doubled in size and the balls are touching. Mix the remaining butter with the garlic. When the rolls are ready to cook, brush the tops with the garlic butter and scatter with the cheeses. Bake for 25-30 mins until the dough balls are cooked through. Leave to cool for 5 mins, then serve.']",{},"{'Preparation': '40 mins', 'Cooking': '40 mins'}",20,Easy,10,Bread,Bread roll recipes,baking
8,878e7fe1-e28f-4372-876d-c7fe549db8bd,https://www.bbcgoodfood.com/recipes/cheese-pesto-whirls,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cheese-pesto-whirls-01e4b02.jpg,Cheese & pesto whirls,These herby tear-and-share bread rolls have mozzarella and sun-dried tomatoes baked into them - perfect for a picnic or for dipping into soup,Cassie Best,5,"['450g strong white bread flour, plus a little for dusting', '7g sachet fast-action dried yeast', '1 tsp golden caster sugar', '2 tbsp olive oil, plus a drizzle', '150g tub fresh pesto', '240g tub semi-dried tomatoes, drained and roughly chopped', '100g grated mozzarella (ready-grated is best for this, as it is drier than fresh)', '50g parmesan (or vegetarian alternative), grated', 'handful basil leaves']","['Combine the flour, yeast, sugar and 1½ tsp fine salt in a large mixing bowl, or the bowl of a tabletop mixer. Measure out 300ml warm water and add roughly 280ml to the flour, along with the olive oil, and start mixing until the ingredients start to clump together as a dough. If the dough seems a little dry, add the remaining water. Once combined, knead for 10 mins by hand on your work surface, or for 5 mins on a medium speed in a mixer. The dough is ready when it feels soft, springy and elastic. Clean the bowl, drizzle in a little oil, then pop the dough back in, turning it over and coating the sides of the bowl in oil. Cover with some oiled cling film and set aside in a warm place to double in size – this will take 1-3 hrs, depending on the temperature.', 'Line a baking tray with parchment. Uncover the dough and punch it down a couple of times with your fist, knocking out all the air bubbles. Tip out onto a floured work surface and dust the top with a little flour too, if it is sticky. Roll the dough out to a rectangle, roughly 40 x 30cm. Spread the pesto over the dough, then scatter over the tomatoes, both cheeses and the basil. Roll the dough up from one of the longer sides, into a long sausage.', 'Use a sharp knife to cut the dough into 12 even pieces. Place on the baking tray, cut-side up, in a 3-by-4 formation, making sure the open end of each roll is tucked in towards the centre on the arrangement – this will prevent them from uncoiling during cooking. Leave a little space between each roll as they will grow and touch as they prove. Loosely cover with oiled cling film and leave to prove for 30 mins–1 hr until almost doubled in size again. Heat oven to 200C/180C fan/gas 6.', 'Uncover the bread when it is puffed up. Bake on the middle shelf in the oven for 35-40 mins until golden brown and the centre looks dry and not doughy. Remove from the oven and leave to cool for at least 10 mins.']",{},"{'Preparation': '40 mins', 'Cooking': '40 mins'}",12,More effort,60,Bread,Bread roll recipes,baking
9,47f524ce-c4d4-49e7-a70a-2e71a2731528,https://www.bbcgoodfood.com/recipes/cheese-roll-ups,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1025484_11-f56ab42.jpg,Cheese roll-ups,Teach kids a lifetime cookery skill with a special recipe from CBeebies' 'i can cook'- these buns show how to make dough,Good Food team,4,"['200g self-raising flour, plus extra for dusting', '50g butter, softened', '1 tsp paprika', '100-125ml/3½-4fl oz milk', '50g ready-grated  mature cheddar']","['Heat oven to 220C/200C fan/gas 7. Put the flour and butter in a bowl and rub them together with your fingers. Rubbing in mixture with cold butter is hard and tiring on young fingers, so use slightly softened butter – but not so soft that it is oily. Now stir in the paprika and mix again.', 'Add 100ml milk and mix with a fork until you get a soft dough. Add a splash more milk if the dough is dry. This process will teach you how to feel the dough and decide if it needs more liquid. You can always add more milk if required.', 'On a lightly floured surface, roll out the dough like pastry to about 0.5cm thick. Try to keep a rectangular shape. Only roll in one direction, and roll and turn, roll and turn – by keeping the dough moving, you avoid finding it stuck at the end.', 'Sprinkle the grated cheese on top, then roll up like a sausage along the long side. Cut into 12 thick rings using a table knife. Get an adult to show you how to hold the dough with one hand and cut straight through with the other.', 'Line the baking tray with baking parchment. Place the roll-ups on the parchment, cut-side down, almost touching each other, making sure that you can see the spiral. Get an adult to put them in the oven for you and bake for 20-25 mins until golden and melty. Ask an adult to remove them from the oven, then leave to cool. The cheese roll-ups will keep for up to 3 days in an airtight container.']","{'kcal': '218', 'fat': '11g', 'saturates': '6g', 'carbs': '25g', 'sugars': '1g', 'fibre': '1g', 'protein': '6g', 'salt': '0.6g'}","{'Preparation': '30 mins', 'Cooking': '25 mins'}",6,Easy,8,Bread,Bread roll recipes,baking
